mean_reward,convergence_episode,last_mean_reward,evals
169.44,165.0,235.91,123
206.30555555555554,124.0,280.61,123
201.55405405405406,133.0,252.1,123
211.53191489361703,120.0,290.56,123
228.4351145038168,111.0,282.19,123
303.64285714285717,,,123
162.41304347826087,155.0,215.14,123
220.27407407407406,115.0,268.49,123
202.2108843537415,128.0,268.8,123
197.49333333333334,132.0,263.35,123
233.33858267716536,99.0,281.07,123
211.5035460992908,121.0,288.07,123
228.83846153846153,109.0,288.89,123
185.1006289308176,145.0,232.94,123
199.29333333333332,136.0,246.04,123
229.05384615384617,109.0,291.36,123
250.10084033613447,99.0,289.15,123
233.3464566929134,107.0,283.51,123
207.1888111888112,129.0,252.56,123
262.11504424778764,99.0,292.46,123
247.475,99.0,292.38,123
203.32876712328766,120.0,269.73,123
180.9878787878788,156.0,227.39,123
252.64102564102564,99.0,291.02,123
164.94475138121547,178.0,205.75,123
