mean_reward,convergence_episode,last_mean_reward,evals
204.73287671232876,113,277.34,190
165.61878453038673,161,229.73,190
221.7925925925926,99,255.07,190
215.52173913043478,99,277.45,190
216.40579710144928,99,265.18,190
196.80794701986756,99,246.12,190
199.30405405405406,104,265.77,190
227.23664122137404,99,287.46,190
118.12648221343873,117,49.74,190
200.47972972972974,99,263.6,190
224.64661654135338,105,290.38,190
260.8070175438597,99,294.1,190
177.57142857142858,118,233.62,190
204.3082191780822,115,274.12,190
168.37853107344634,155,252.16,190
205.47916666666666,122,277.17,190
247.725,99,288.94,190
239.28,99,293.34,190
238.576,99,292.51,190
207.88028169014083,105,258.96,190
239.032,99,291.81,190
171.13714285714286,173,200.28,190
224.6439393939394,99,288.4,190
195.9205298013245,119,241.76,190
253.364406779661,99,295.04,190
