mean_reward,convergence_episode,last_mean_reward,evals
201.87755102040816,105.0,267.2,171
246.56302521008402,99.0,289.61,171
205.15277777777777,110.0,280.9,171
229.41860465116278,105.0,289.42,171
202.0204081632653,116.0,267.99,171
252.50862068965517,99.0,288.46,171
114.73255813953489,,132.44,171
193.1437908496732,126.0,262.87,171
164.8988764044944,120.0,165.39,171
171.2601156069364,164.0,219.91,171
176.82142857142858,123.0,202.01,171
195.18421052631578,119.0,279.56,171
203.64383561643837,108.0,277.99,171
217.5808823529412,102.0,286.11,171
183.46913580246914,142.0,251.35,171
162.50819672131146,160.0,230.58,171
204.81379310344826,113.0,270.64,171
208.07746478873239,112.0,266.63,171
241.130081300813,99.0,290.87,171
219.93984962406014,99.0,281.26,171
166.81460674157304,147.0,226.34,171
163.84530386740332,138.0,224.75,171
224.7709923664122,99.0,285.1,171
207.24647887323943,107.0,278.36,171
254.81896551724137,99.0,291.78,171
