mean_reward,convergence_episode,last_mean_reward,evals
171.5549132947977,157.0,241.61,190
232.8031496062992,107.0,284.81,190
56.78409090909091,,29.41,190
203.8231292517007,128.0,275.89,190
95.15286624203821,,131.78,190
113.97297297297297,258.0,197.57,190
180.62424242424242,142.0,237.96,190
83.75418994413408,,140.9,190
99.62333333333333,298.0,201.32,190
122.18775510204081,,174.57,190
33.001100110011,149.0,9.39,190
139.03271028037383,199.0,249.18,190
126.24050632911393,,164.52,190
61.83471074380165,,99.5,190
153.2974358974359,152.0,206.92,190
190.93630573248407,137.0,264.74,190
147.60591133004925,196.0,202.99,190
155.91623036649216,179.0,238.98,190
103.79930795847751,154.0,52.08,190
131.53947368421052,210.0,241.37,190
92.4858934169279,,142.15,190
173.88823529411764,149.0,260.58,190
222.5639097744361,113.0,284.5,190
176.20710059171597,135.0,276.54,190
99.52666666666667,257.0,221.92,190
