mean_reward,convergence_episode,last_mean_reward,evals
216.55474452554745,115.0,282.64,190
164.37016574585635,173.0,209.32,190
137.45622119815667,,165.96,190
124.35,,122.88,190
141.55450236966826,,169.64,190
159.20320855614975,135.0,181.43,190
176.83928571428572,126.0,200.74,190
162.44565217391303,122.0,207.72,190
157.9100529100529,130.0,200.52,190
140.64150943396226,,188.16,190
186.62264150943398,118.0,228.1,190
125.33193277310924,,127.1,190
112.40754716981132,,137.53,190
115.48262548262548,,109.25,190
108.85401459854015,,116.01,190
221.4814814814815,109.0,289.37,190
157.3736842105263,,161.79,190
131.44493392070484,,120.84,190
176.29166666666666,132.0,207.2,190
122.8395061728395,,118.53,190
168.15254237288136,,190.0,190
168.40112994350284,136.0,231.7,190
156.73544973544975,181.0,213.06,190
134.25675675675674,,168.28,190
161.8641304347826,178.0,199.25,190
