mean_reward,convergence_episode,last_mean_reward,evals
192.281045751634,122.0,275.15,171
184.38993710691824,108.0,252.1,171
220.69402985074626,106.0,287.8,171
181.80368098159508,136.0,266.08,171
184.5125,126.0,261.19,171
144.50731707317073,,175.84,171
126.07758620689656,192.0,177.72,171
181.93788819875778,129.0,245.54,171
182.27329192546583,128.0,264.68,171
225.0681818181818,103.0,289.83,171
204.67132867132867,116.0,283.45,171
170.3505747126437,109.0,225.88,171
183.21604938271605,137.0,272.86,171
115.2568093385214,,115.62,171
199.48979591836735,118.0,281.51,171
203.34246575342465,119.0,276.77,171
130.6637168141593,,160.86,171
211.28571428571428,116.0,285.45,171
180.84756097560975,133.0,275.35,171
144.88292682926829,151.0,165.67,171
220.90298507462686,107.0,288.64,171
175.31952662721895,138.0,238.51,171
217.53333333333333,115.0,283.97,171
202.0612244897959,126.0,286.9,171
211.54285714285714,113.0,287.24,171
